ID,OffID,Pop,Fruit,Selfed,Hac_C7,Hac_D1,Hb_B9,Hb_C115,Hac_C114,Hac_B6,Hac_B4,Hac_A103,Hac_A116,Hc_C7,Hc_C126
10A,0,10,NA,No,219:225,183:183,348:357,282:288,372:372,288:288,249:252,190:202,302:302,345:354,249:249
10A,1,10,10A1,No,225:225,180:183,348:357,282:288,372:372,288:288,249:252,190:190,302:302,345:345,249:249
10A,2,10,10A1,No,219:225,180:183,348:354,276:282,372:372,288:291,234:252,190:194,302:302,345:345,249:249
10A,3,10,10A1,No,225:225,183:183,357:357,276:288,372:372,288:291,246:249,190:194,302:302,351:354,249:249
10A,4,10,10A2,No,219:225,180:183,357:357,276:276,372:372,288:288,246:252,200:202,302:302,345:351,249:249
10A,5,10,10A3,No,219:225,180:183,348:360,288:288,372:372,288:288,240:252,194:202,302:302,345:345,249:249
10A,6,10,10A3,No,219:225,183:183,345:357,282:282,372:372,288:288,249:252,200:202,300:302,354:354,249:249
10A,7,10,10A3,No,219:225,180:183,357:357,282:282,372:372,288:288,249:252,190:202,302:302,345:348,249:270
10A,8,10,10A4,No,219:225,180:183,345:357,282:288,372:372,291:291,243:252,190:202,302:302,345:345,249:270
10A,9,10,10A4,No,219:225,180:183,NA,285:288,372:372,288:288,249:252,NA,302:302,345:345,249:249
10B,0,10,NA,No,225:225,183:183,348:348,285:285,372:372,291:291,252:258,190:194,302:302,345:345,249:267
10B,1,10,10B1,No,225:225,180:183,348:360,285:285,372:372,291:291,249:252,194:194,302:302,345:354,249:249
10B,2,10,10B2,No,219:225,180:183,348:366,285:288,372:372,291:291,228:252,190:190,302:302,345:351,249:267
10B,3,10,10B3,No,225:225,180:183,348:348,285:288,372:372,288:291,255:258,190:194,302:302,345:354,249:267
10B,4,10,10B3,No,225:225,183:183,345:348,285:288,372:372,291:291,249:252,194:194,302:302,342:345,249:249
10B,5,10,10B4,No,219:225,183:183,348:354,285:285,372:372,297:300,249:258,190:200,300:302,345:354,249:249
10B,6,10,10B4,No,225:225,183:183,348:360,285:288,372:372,285:291,240:258,194:194,302:302,345:357,249:249
10B,7,10,10B4,No,222:225,183:183,348:360,285:297,372:372,291:291,255:258,194:194,302:302,345:357,249:249
10B,8,10,10B5,No,225:225,183:183,348:357,285:288,372:372,285:291,240:252,194:200,300:302,345:357,249:249
10B,9,10,10B6,No,210:225,183:183,348:357,282:285,372:372,285:291,249:252,194:194,300:302,345:354,249:270
10B,10,10,10B6,No,225:225,183:183,348:360,285:285,372:372,291:291,243:252,190:194,302:302,345:348,249:270
10C,0,10,NA,No,219:225,180:180,348:357,288:288,372:372,285:285,240:258,194:194,302:302,342:348,249:249
10C,1,10,10C1,No,219:219,177:180,357:357,285:288,372:372,285:285,240:246,194:206,302:302,348:354,249:249
10C,2,10,10C2,No,219:225,177:180,348:357,288:288,372:375,291:291,252:258,194:198,302:302,345:348,249:249
10C,3,10,10C2,No,225:225,180:180,357:357,288:288,372:372,285:291,234:240,194:198,302:302,345:348,249:249
10C,4,10,10C3,No,219:225,180:180,357:357,288:288,372:372,NA,240:258,190:194,302:302,345:348,249:249
10C,5,10,10C4,No,NA,180:180,NA,288:300,372:375,285:285,237:240,194:206,302:302,342:354,249:270
10C,6,10,10C5,No,222:225,180:183,348:354,288:297,372:372,285:291,240:252,194:194,302:302,345:348,249:249
